id_client,age,genre,situation_matrimoniale,nb_personnes_charge,secteur_activite,anciennete_activite_annees,revenu_mensuel_gnf,membre_tontine,possede_mobile_money,membre_association_marchands,nb_credits_anterieurs,a_deja_eu_retard,jours_retard_max_anterieur,garant_disponible,score_bureau_credit,montant_pret_demande_gnf,duree_pret_mois,ratio_pret_revenu,defaut_paiement
MAD-00001,41,Homme,Marié(e),0,Tissus_Pagnes,1.5,3182000,Oui,Oui,Non,2,1,81,Oui,544,691000,9,0.22,0
MAD-00002,26,Femme,Veuf(ve),0,Vêtements,4.1,4394000,Non,Oui,Non,1,0,0,Oui,691,5055000,24,1.15,0
MAD-00003,46,Femme,Célibataire,3,Vêtements,16.4,2939000,Non,Oui,Non,1,0,0,Oui,520,489000,3,0.17,0
MAD-00004,48,Femme,Marié(e),4,Cosmétiques,4.3,4987000,Non,Oui,Non,0,0,0,Oui,617,6581000,12,1.32,0
MAD-00005,18,Femme,Célibataire,1,Chaussures,1.6,1518000,Non,Oui,Oui,0,0,0,Oui,587,300000,12,0.2,0
MAD-00006,23,Femme,Veuf(ve),5,Électronique_Téléphonie,2.1,5696000,Oui,Oui,Non,0,0,0,Oui,678,2280000,6,0.4,0
MAD-00007,39,Femme,Marié(e),3,Vêtements,3.1,3036000,Oui,Non,Oui,2,1,36,Oui,589,1464000,12,0.48,0
MAD-00008,34,Homme,Célibataire,4,Alimentation,0.3,2890000,Non,Non,Oui,0,0,0,Non,544,1662000,9,0.58,0
MAD-00009,37,Femme,Divorcé(e),4,Tissus_Pagnes,2.8,2104000,Non,Oui,Oui,1,0,0,Non,569,562000,6,0.27,0
MAD-00010,28,Femme,Marié(e),3,Tissus_Pagnes,3.7,1617000,Non,Oui,Oui,1,1,22,Oui,715,817000,6,0.51,0
MAD-00011,47,Femme,Divorcé(e),1,Alimentation,18.4,1735000,Non,Oui,Oui,2,1,8,Non,435,875000,6,0.5,0
MAD-00012,46,Femme,Marié(e),2,Quincaillerie,15.0,2394000,Non,Oui,Non,7,1,74,Non,552,797000,6,0.33,0
MAD-00013,38,Femme,Célibataire,8,Divers,5.2,4243000,Oui,Oui,Non,2,0,0,Oui,731,4802000,12,1.13,0
MAD-00014,50,Femme,Célibataire,3,Alimentation,3.4,1845000,Oui,Oui,Non,1,0,0,Non,672,1712000,12,0.93,0
MAD-00015,43,Femme,Célibataire,3,Électronique_Téléphonie,1.8,1316000,Non,Oui,Oui,1,0,0,Oui,777,2206000,18,1.68,0
MAD-00016,28,Homme,Marié(e),6,Cosmétiques,3.3,1893000,Oui,Oui,Non,1,0,0,Non,704,975000,9,0.52,0
MAD-00017,42,Homme,Célibataire,2,Vêtements,0.6,2412000,Oui,Oui,Oui,1,0,0,Oui,654,1189000,6,0.49,0
MAD-00018,27,Femme,Marié(e),5,Cosmétiques,1.6,2494000,Oui,Non,Non,0,1,25,Oui,540,300000,3,0.12,0
MAD-00019,47,Femme,Marié(e),1,Alimentation,5.2,2911000,Non,Oui,Non,1,0,0,Non,636,1278000,12,0.44,1
MAD-00020,37,Homme,Marié(e),3,Alimentation,23.3,5919000,Non,Oui,Oui,0,1,40,Non,601,2004000,3,0.34,0
MAD-00021,35,Homme,Célibataire,4,Divers,12.5,6255000,Non,Oui,Non,2,1,88,Oui,468,1170000,6,0.19,0
